Spatial Coordinate (x),Temperature (T)
0.0,100.0
0.034482758620689655,116.99592554298277
0.06896551724137931,133.99472880413086
0.10344827586206896,150.99925376312783
0.13793103448275862,168.0122773182404
0.1724137931034483,185.03647672983965
0.20689655172413793,202.0743982320676
0.24137931034482757,219.12842718064522
0.27586206896551724,236.20076008680644
0.3103448275862069,253.29337886523427
0.3448275862068966,270.40802759791563
0.3793103448275862,287.5461920863393
0.41379310344827586,304.7090824317692
0.4482758620689655,321.89761884782723
0.48275862068965514,339.11242087172366
0.5172413793103449,356.3538001006288
0.5517241379310345,373.6217565383508
0.5862068965517241,390.9159785951571
0.6206896551724138,408.2358467407499
0.6551724137931034,425.58044076757
0.6896551724137931,442.94855057928424
0.7241379310344828,460.33869037797126
0.7586206896551724,477.7491160836816
0.7931034482758621,495.17784578214463
0.8275862068965517,512.6226829608942
0.8620689655172413,530.0812422613903
0.896551724137931,547.5509774452171
0.9310344827586207,565.029211246474
0.9655172413793103,582.5131667603687
1.0,600.0
